Timestamp,Temp(C),GPU_Util(%),Mem_Util(%),Clock(MHz)
1775934150,44,0,0,2418
1775934152,54,95,0,2496
1775934154,55,95,0,2496
1775934156,56,95,0,2496
1775934158,58,95,0,2496
1775934160,59,95,0,2502
1775934162,60,95,0,2502
1775934164,59,90,0,2502
1775934166,58,93,0,2502
1775934168,58,93,0,2509
1775934170,58,93,0,2502
1775934172,59,93,0,2509
1775934174,59,94,0,2509
1775934176,59,94,0,2509
1775934178,60,95,0,2502
1775934180,60,95,0,2509
1775934182,60,94,0,2509
1775934184,61,93,0,2509
1775934186,61,94,0,2509
1775934188,60,94,0,2509
1775934190,61,94,0,2509
1775934192,62,95,0,2509
1775934194,62,94,0,2502
1775934196,62,93,0,2509
1775934199,62,94,0,2509
1775934201,62,94,0,2509
1775934203,62,93,0,2489
1775934205,63,94,0,2489
1775934207,63,95,0,2489
1775934209,63,90,0,2489
1775934211,63,94,0,2489
1775934213,63,94,0,2489
1775934215,63,93,0,2489
1775934217,63,93,0,2489
1775934219,64,95,0,2489
1775934221,64,95,0,2489
1775934223,64,94,0,2489
1775934225,64,94,0,2489
1775934227,64,94,0,2489
1775934229,64,94,0,2489
1775934231,64,93,0,2489
1775934233,65,94,0,2489
1775934235,65,93,0,2489
1775934237,65,93,0,2489
1775934239,65,94,0,2483
1775934241,66,93,0,2489
1775934243,65,94,0,2489
1775934245,65,93,0,2489
1775934247,65,94,0,2489
1775934250,65,94,0,2489
1775934252,66,95,0,2489
1775934254,66,94,0,2483
1775934256,66,94,0,2489
1775934258,66,93,0,2489
1775934260,66,85,0,2489
1775934262,66,88,0,2489
1775934264,66,94,0,2489
1775934266,66,94,0,2489
1775934268,67,94,0,2483
1775934270,67,94,0,2489
1775934272,67,94,0,2489
1775934274,67,93,0,2489
1775934276,67,94,0,2489
1775934278,67,94,0,2489
1775934280,67,94,0,2489
1775934282,67,93,0,2483
1775934284,67,94,0,2489
1775934286,67,93,0,2489
1775934288,67,94,0,2489
1775934290,67,94,0,2483
1775934292,68,94,0,2489
1775934294,68,94,0,2483
1775934296,68,95,0,2489
1775934299,68,95,0,2489
1775934301,68,95,0,2489
1775934303,68,93,0,2489
1775934305,68,94,0,2489
1775934307,68,93,0,2489
1775934309,68,94,0,2489
1775934311,68,95,0,2483
1775934313,68,86,0,2483
1775934315,69,95,0,2489
1775934317,68,93,0,2489
1775934319,68,93,0,2489
1775934321,69,94,0,2489
1775934323,68,94,0,2489
1775934325,69,93,0,2489
1775934327,69,95,0,2489
1775934329,69,95,0,2489
1775934331,69,93,0,2489
1775934333,69,93,0,2483
1775934335,69,93,0,2489
1775934337,69,94,0,2489
1775934339,69,94,0,2489
1775934341,70,94,0,2489
1775934343,69,93,0,2489
1775934345,70,93,0,2489
1775934347,74,95,0,2457
1775934350,75,93,0,2457
1775934352,76,95,0,2457
1775934354,70,95,0,2463
1775934356,71,95,0,2463
1775934358,75,95,0,2463
1775934360,71,95,0,2463
1775934362,71,93,0,2470
1775934364,71,94,0,2483
1775934366,71,93,0,2483
1775934368,70,94,0,2489
1775934370,70,94,0,2483
1775934372,70,94,0,2483
1775934374,70,94,0,2483
1775934376,69,94,0,2483
1775934378,69,94,0,2483
1775934380,69,93,0,2489
1775934382,69,93,0,2489
1775934384,69,94,0,2483
1775934386,69,94,0,2483
1775934388,69,93,0,2483
1775934390,69,94,0,2483
1775934392,69,94,0,2489
1775934394,69,94,0,2489
1775934396,69,94,0,2489
1775934398,69,94,0,2483
1775934400,69,95,0,2483
1775934403,69,94,0,2483
1775934405,69,94,0,2483
1775934407,68,94,0,2483
1775934409,68,94,0,2483
1775934411,68,93,0,2489
1775934413,68,94,0,2489
1775934415,68,85,0,2483
1775934417,68,94,0,2489
1775934419,68,94,0,2483
1775934421,68,94,0,2489
1775934423,68,94,0,2489
1775934425,68,94,0,2489
1775934427,68,94,0,2489
1775934429,68,92,0,2483
1775934431,68,93,0,2483
1775934433,68,95,0,2483
1775934435,68,95,0,2483
1775934437,68,94,0,2489
1775934439,68,94,0,2489
1775934441,68,93,0,2489
1775934443,68,90,0,2483
1775934445,68,94,0,2483
1775934447,68,95,0,2483
1775934449,68,95,0,2483
